N,P,K,temperature,humidity,ph,rainfall,label
71.0,47.0,41.0,21.77,83.5,6.29,247.95,rice
68.0,37.0,45.0,20.52,83.99,6.99,263.67,rice
62.0,44.0,35.0,25.34,84.5,7.43,242.88,rice
91.0,42.0,38.0,23.99,83.12,6.8,261.0,rice
71.0,40.0,45.0,22.35,81.31,6.78,225.0,rice
68.0,51.0,40.0,26.3,83.29,5.02,185.76,rice
78.0,60.0,38.0,20.43,81.52,7.19,182.0,rice
92.0,38.0,44.0,26.22,84.86,6.06,169.71,rice
87.0,55.0,41.0,20.24,83.27,5.67,249.79,rice
99.0,36.0,42.0,23.81,83.8,5.02,199.95,rice
66.0,39.0,45.0,21.22,80.14,7.02,256.1,rice
87.0,53.0,43.0,27.02,80.43,6.32,234.45,rice
78.0,38.0,43.0,26.09,80.73,6.99,187.54,rice
87.0,37.0,41.0,21.99,82.73,7.2,253.95,rice
89.0,41.0,39.0,24.62,82.51,5.53,175.47,rice
73.0,50.0,37.0,24.5,82.47,6.78,188.57,rice
69.0,46.0,37.0,24.25,81.75,7.47,298.13,rice
75.0,59.0,38.0,27.23,83.92,5.66,278.64,rice
64.0,47.0,38.0,27.71,80.04,6.12,223.04,rice
77.0,60.0,42.0,26.24,82.78,5.1,249.58,rice
82.0,52.0,41.0,26.77,80.32,5.68,277.74,rice
99.0,36.0,45.0,24.15,83.28,7.01,249.28,rice
86.0,46.0,41.0,21.45,84.3,6.52,285.31,rice
86.0,42.0,39.0,22.92,82.34,5.83,173.49,rice
90.0,46.0,44.0,23.1,80.44,6.74,282.25,rice
95.0,41.0,38.0,22.85,84.41,6.55,190.54,rice
66.0,43.0,40.0,21.66,82.43,7.46,189.66,rice
92.0,54.0,39.0,24.68,80.41,5.02,249.8,rice
83.0,41.0,37.0,24.8,83.35,6.12,157.46,rice
99.0,46.0,39.0,25.55,84.94,5.19,286.82,rice
79.0,38.0,43.0,22.86,83.17,7.34,169.19,rice
95.0,44.0,36.0,20.51,80.94,6.26,266.6,rice
82.0,45.0,41.0,24.15,82.99,6.55,287.67,rice
75.0,45.0,36.0,21.72,83.66,5.53,200.38,rice
84.0,41.0,37.0,24.29,82.11,5.58,279.2,rice
80.0,56.0,45.0,22.15,80.02,5.37,197.66,rice
75.0,53.0,38.0,21.63,80.78,7.07,169.37,rice
86.0,43.0,38.0,20.93,80.41,5.19,175.36,rice
71.0,36.0,44.0,27.53,81.41,7.15,228.74,rice
79.0,38.0,44.0,26.97,80.83,5.37,230.68,rice
61.0,55.0,42.0,25.22,81.63,7.46,181.75,rice
86.0,49.0,45.0,20.91,82.23,5.33,165.13,rice
64.0,44.0,42.0,20.31,81.98,6.02,283.86,rice
98.0,58.0,45.0,24.67,83.18,6.15,263.24,rice
75.0,39.0,35.0,26.92,84.4,6.26,214.53,rice
69.0,37.0,42.0,25.47,84.84,7.22,208.23,rice
84.0,40.0,40.0,27.89,83.11,6.11,247.21,rice
73.0,43.0,45.0,22.53,84.64,6.51,291.45,rice
62.0,53.0,40.0,23.54,82.67,7.48,256.99,rice
63.0,52.0,36.0,22.89,84.69,5.34,288.29,rice
64.0,56.0,45.0,27.26,83.56,6.21,187.38,rice
63.0,51.0,39.0,27.77,82.84,7.37,220.79,rice
95.0,52.0,40.0,21.59,83.33,5.28,207.91,rice
93.0,52.0,44.0,25.54,80.89,6.61,257.59,rice
91.0,56.0,38.0,23.43,82.79,6.78,193.53,rice
77.0,57.0,36.0,26.55,83.57,5.72,217.95,rice
75.0,40.0,37.0,25.21,81.19,6.84,214.56,rice
98.0,43.0,38.0,20.6,82.61,7.37,176.59,rice
62.0,35.0,45.0,25.08,83.43,7.36,172.3,rice
77.0,51.0,43.0,23.92,80.83,7.42,248.07,rice
78.0,39.0,43.0,20.87,80.97,6.7,176.05,rice
84.0,58.0,36.0,26.31,80.85,6.03,275.29,rice
64.0,58.0,39.0,23.24,80.28,6.84,177.88,rice
70.0,42.0,25.0,21.2,64.45,7.3,69.7,maize
99.0,38.0,21.0,21.26,56.91,7.35,97.0,maize
67.0,45.0,16.0,21.32,63.91,7.2,69.79,maize
78.0,37.0,18.0,18.01,57.78,5.99,109.9,maize
63.0,36.0,19.0,23.53,73.21,5.79,92.04,maize
99.0,58.0,18.0,21.99,70.42,6.28,107.89,maize
71.0,51.0,18.0,18.16,55.58,6.83,107.44,maize
85.0,50.0,21.0,22.94,62.57,6.57,71.63,maize
63.0,56.0,19.0,23.72,68.82,6.45,93.61,maize
81.0,59.0,24.0,24.98,59.8,5.72,75.59,maize
94.0,42.0,20.0,18.88,64.71,6.59,63.82,maize
77.0,46.0,21.0,21.09,57.31,7.13,62.51,maize
77.0,36.0,16.0,24.35,63.26,5.93,69.06,maize
79.0,57.0,16.0,26.97,74.69,6.19,99.15,maize
79.0,44.0,20.0,24.09,55.34,7.28,105.59,maize
73.0,57.0,23.0,21.82,66.12,6.57,81.31,maize
75.0,41.0,21.0,26.98,69.05,5.87,66.89,maize
95.0,36.0,19.0,25.36,69.83,7.29,74.48,maize
99.0,37.0,22.0,21.16,72.53,7.37,101.46,maize
94.0,46.0,19.0,23.68,71.79,5.82,88.79,maize
96.0,41.0,23.0,22.98,60.57,7.03,97.31,maize
74.0,50.0,17.0,24.54,55.46,5.86,87.82,maize
83.0,39.0,21.0,23.31,56.54,6.85,68.73,maize
91.0,41.0,23.0,25.89,73.04,6.6,106.42,maize
93.0,37.0,22.0,25.57,61.62,6.61,91.63,maize
87.0,51.0,21.0,22.21,62.98,7.26,63.6,maize
71.0,55.0,25.0,26.13,73.79,6.56,97.7,maize
65.0,38.0,24.0,25.36,73.16,6.09,105.71,maize
91.0,50.0,17.0,21.69,62.71,6.64,76.29,maize
96.0,52.0,24.0,26.73,72.73,7.28,65.81,maize
70.0,46.0,25.0,26.18,58.48,7.39,101.44,maize
65.0,51.0,23.0,18.16,56.0,6.17,68.95,maize
73.0,41.0,18.0,23.5,69.54,6.81,62.48,maize
98.0,50.0,17.0,26.82,59.33,5.56,109.86,maize
95.0,39.0,17.0,25.86,55.59,6.08,95.82,maize
90.0,47.0,21.0,20.29,74.08,6.13,68.37,maize
63.0,46.0,24.0,26.68,56.88,6.24,79.52,maize
81.0,54.0,25.0,20.44,71.18,5.85,68.94,maize
87.0,41.0,20.0,24.23,71.67,6.45,89.7,maize
91.0,37.0,16.0,24.22,71.03,6.77,69.37,maize
60.0,41.0,24.0,26.87,70.07,5.92,69.64,maize
78.0,45.0,23.0,20.07,66.72,7.39,108.8,maize
95.0,58.0,23.0,23.68,72.7,5.98,60.94,maize
78.0,47.0,17.0,24.2,56.73,6.25,85.08,maize
93.0,59.0,21.0,26.87,69.98,6.49,93.33,maize
97.0,56.0,22.0,20.4,65.18,7.05,88.99,maize
73.0,44.0,17.0,23.64,63.22,5.75,82.39,maize
68.0,38.0,25.0,25.49,64.39,6.52,66.4,maize
95.0,51.0,24.0,23.95,59.09,6.76,98.08,maize
74.0,52.0,24.0,25.99,65.55,7.39,100.78,maize
64.0,36.0,16.0,23.17,71.02,5.67,60.57,maize
96.0,42.0,24.0,20.33,59.44,7.06,63.59,maize
61.0,44.0,20.0,19.1,66.9,5.93,65.89,maize
86.0,52.0,15.0,23.12,69.11,6.52,72.84,maize
61.0,39.0,23.0,22.39,73.13,7.35,63.82,maize
78.0,54.0,20.0,21.07,74.15,6.6,87.42,maize
79.0,51.0,21.0,23.81,55.09,7.46,103.38,maize
65.0,57.0,18.0,26.67,59.18,6.45,82.58,maize
78.0,51.0,16.0,24.0,61.96,7.23,95.45,maize
74.0,57.0,17.0,19.07,60.32,7.5,89.84,maize
65.0,38.0,15.0,18.4,63.58,6.06,79.74,maize
72.0,44.0,24.0,23.04,57.19,7.05,77.48,maize
63.0,54.0,18.0,21.91,55.88,6.71,84.06,maize
97.0,45.0,19.0,18.6,55.76,6.17,66.99,maize
93.0,54.0,19.0,23.04,65.18,6.61,62.13,maize
63.0,55.0,25.0,26.89,66.38,5.84,95.55,maize
96.0,57.0,24.0,18.24,73.98,6.58,89.63,maize
82.0,58.0,21.0,26.39,67.65,6.73,94.93,maize
69.0,53.0,23.0,26.66,68.61,6.04,77.44,maize
87.0,46.0,18.0,19.11,73.69,6.57,79.17,maize
79.0,50.0,21.0,23.58,63.15,5.67,87.01,maize
96.0,41.0,18.0,25.26,66.43,5.9,83.46,maize
87.0,57.0,19.0,25.92,73.9,6.61,87.54,maize
64.0,45.0,16.0,22.77,70.52,5.93,109.57,maize
84.0,51.0,17.0,22.42,57.44,6.25,71.21,maize
86.0,41.0,18.0,26.16,66.63,7.02,86.1,maize
91.0,48.0,19.0,26.41,65.23,6.63,109.02,maize
75.0,46.0,16.0,25.52,73.41,6.19,93.95,maize
78.0,46.0,22.0,25.3,55.61,5.93,64.39,maize
92.0,54.0,19.0,25.49,61.8,7.11,70.6,maize
66.0,59.0,19.0,18.98,65.64,7.24,89.07,maize
75.0,51.0,21.0,18.71,68.85,7.38,68.12,maize
87.0,55.0,18.0,20.56,61.14,6.58,61.27,maize
79.0,50.0,25.0,23.83,68.77,5.73,108.64,maize
98.0,41.0,16.0,18.96,59.39,6.45,88.4,maize
87.0,35.0,16.0,26.6,58.31,6.03,78.53,maize
83.0,54.0,16.0,21.77,59.3,5.99,96.07,maize
86.0,50.0,25.0,23.16,65.93,6.48,79.72,maize
84.0,41.0,23.0,20.77,70.35,7.23,94.91,maize
61.0,37.0,21.0,19.55,66.81,7.43,61.85,maize
100.0,54.0,22.0,22.2,63.98,6.29,86.1,maize
69.0,39.0,18.0,20.02,59.76,7.38,102.78,maize
87.0,51.0,16.0,20.09,62.48,6.78,104.38,maize
65.0,35.0,24.0,23.26,60.73,7.19,101.52,maize
78.0,42.0,16.0,22.26,73.37,6.72,83.55,maize
63.0,44.0,20.0,25.25,63.48,6.96,86.31,maize
100.0,56.0,24.0,24.39,67.04,6.51,106.86,maize
72.0,53.0,24.0,24.76,63.66,6.13,84.15,maize
82.0,56.0,21.0,19.82,74.45,7.43,92.1,maize
94.0,44.0,21.0,23.51,58.76,7.18,108.87,maize
26.0,78.0,83.0,18.93,17.64,7.6,90.37,chickpea
48.0,74.0,82.0,18.19,19.48,6.29,82.23,chickpea
48.0,65.0,78.0,18.75,15.7,5.55,92.86,chickpea
47.0,59.0,78.0,18.29,19.97,6.62,85.02,chickpea
56.0,77.0,81.0,18.97,19.55,6.0,70.98,chickpea
50.0,74.0,79.0,19.25,15.68,8.34,73.99,chickpea
31.0,62.0,79.0,17.74,19.42,5.72,66.38,chickpea
27.0,67.0,82.0,17.63,17.7,8.33,75.86,chickpea
23.0,62.0,79.0,18.02,15.31,6.06,85.32,chickpea
51.0,56.0,79.0,19.48,15.74,8.33,78.79,chickpea
54.0,73.0,83.0,20.15,16.24,6.85,93.13,chickpea
28.0,66.0,79.0,18.04,17.58,5.51,88.59,chickpea
29.0,73.0,83.0,20.14,16.0,7.49,93.52,chickpea
27.0,78.0,82.0,20.94,14.27,8.16,93.17,chickpea
58.0,66.0,81.0,20.27,19.84,7.07,65.6,chickpea
56.0,60.0,83.0,19.03,19.98,7.05,67.63,chickpea
57.0,58.0,77.0,20.93,18.55,8.26,82.27,chickpea
44.0,69.0,80.0,20.93,16.79,7.63,89.19,chickpea
52.0,75.0,83.0,18.54,17.35,7.33,72.94,chickpea
43.0,75.0,84.0,19.99,15.24,6.6,94.41,chickpea
48.0,80.0,82.0,19.86,18.56,7.31,83.73,chickpea
50.0,60.0,78.0,17.66,19.18,6.58,65.62,chickpea
33.0,67.0,80.0,19.96,15.23,6.83,82.96,chickpea
29.0,59.0,84.0,19.98,18.75,7.93,66.54,chickpea
29.0,72.0,77.0,18.97,17.41,7.05,82.68,chickpea
24.0,67.0,84.0,18.22,18.9,5.71,76.14,chickpea
37.0,63.0,81.0,20.32,16.65,6.4,80.8,chickpea
21.0,78.0,78.0,20.22,18.33,7.85,75.02,chickpea
34.0,77.0,76.0,18.48,19.65,8.07,78.47,chickpea
38.0,71.0,75.0,19.16,18.04,7.59,86.7,chickpea
48.0,78.0,82.0,18.93,16.82,7.68,87.26,chickpea
41.0,58.0,77.0,18.58,16.01,7.91,86.7,chickpea
37.0,64.0,81.0,18.91,19.44,8.34,89.01,chickpea
38.0,64.0,79.0,17.77,15.12,6.18,69.95,chickpea
49.0,55.0,78.0,20.21,15.31,8.05,90.88,chickpea
52.0,67.0,81.0,18.38,16.28,7.17,80.43,chickpea
28.0,79.0,81.0,19.93,19.5,6.09,70.42,chickpea
24.0,60.0,76.0,17.13,16.06,8.1,81.19,chickpea
43.0,76.0,80.0,17.82,19.81,8.21,84.74,chickpea
38.0,70.0,76.0,17.96,19.64,7.42,76.48,chickpea
30.0,80.0,78.0,20.1,16.94,7.65,93.49,chickpea
28.0,64.0,83.0,18.7,17.3,6.45,76.54,chickpea
45.0,64.0,76.0,17.46,14.61,6.02,67.21,chickpea
56.0,74.0,83.0,17.12,17.92,8.18,87.56,chickpea
47.0,78.0,82.0,20.94,17.2,6.09,78.01,chickpea
27.0,62.0,78.0,20.03,17.99,8.49,84.11,chickpea
33.0,68.0,82.0,20.92,18.15,7.49,67.19,chickpea
36.0,67.0,79.0,17.69,15.25,8.27,67.19,chickpea
50.0,62.0,81.0,20.16,15.61,6.63,77.07,chickpea
21.0,60.0,79.0,19.34,15.11,6.06,68.52,chickpea
35.0,63.0,84.0,19.08,18.62,7.94,67.86,chickpea
53.0,59.0,76.0,19.37,19.54,8.15,90.45,chickpea
44.0,77.0,82.0,20.62,19.54,6.67,77.69,chickpea
52.0,76.0,81.0,18.84,15.92,7.95,80.48,chickpea
41.0,71.0,83.0,19.23,16.46,5.92,85.88,chickpea
46.0,64.0,80.0,20.94,17.97,6.05,90.63,chickpea
33.0,58.0,83.0,17.96,17.6,7.6,70.28,chickpea
54.0,79.0,77.0,17.15,15.75,6.76,78.84,chickpea
38.0,68.0,80.0,20.87,14.67,7.2,93.32,chickpea
28.0,62.0,83.0,18.42,14.5,6.32,65.68,chickpea
32.0,65.0,80.0,19.39,16.94,5.52,82.74,chickpea
29.0,75.0,79.0,20.94,14.75,7.66,67.68,chickpea
28.0,79.0,79.0,17.05,16.19,7.8,78.15,chickpea
59.0,68.0,82.0,18.26,17.67,5.97,76.83,chickpea
51.0,68.0,75.0,17.15,15.87,7.94,67.65,chickpea
44.0,64.0,82.0,20.15,16.22,7.04,66.02,chickpea
26.0,68.0,78.0,20.31,17.88,6.45,87.99,chickpea
23.0,76.0,76.0,18.07,14.72,6.9,83.11,chickpea
53.0,74.0,83.0,20.77,17.67,7.06,66.83,chickpea
23.0,55.0,77.0,18.96,15.19,6.3,89.97,chickpea
49.0,60.0,79.0,18.52,19.18,7.59,90.69,chickpea
40.0,71.0,76.0,17.08,16.8,6.24,84.08,chickpea
51.0,67.0,78.0,18.64,15.32,6.45,65.9,chickpea
58.0,80.0,83.0,20.28,16.69,7.01,70.96,chickpea
21.0,69.0,79.0,20.46,19.67,8.01,79.85,chickpea
56.0,60.0,78.0,19.95,17.9,6.48,69.01,chickpea
58.0,74.0,77.0,18.02,16.89,8.47,92.64,chickpea
48.0,74.0,82.0,20.68,18.84,7.28,68.05,chickpea
21.0,70.0,80.0,18.39,17.74,7.17,94.33,chickpea
42.0,68.0,84.0,18.27,15.61,7.95,86.44,chickpea
43.0,66.0,77.0,18.48,14.49,8.01,82.76,chickpea
26.0,71.0,80.0,19.65,16.92,7.31,90.61,chickpea
55.0,60.0,77.0,20.11,19.05,8.33,80.92,chickpea
35.0,78.0,83.0,18.14,16.37,6.55,76.56,chickpea
57.0,78.0,77.0,19.76,16.08,7.1,66.67,chickpea
25.0,68.0,79.0,19.39,17.03,7.89,67.88,chickpea
24.0,63.0,85.0,19.48,14.29,6.29,71.14,chickpea
33.0,71.0,75.0,18.46,19.07,7.66,88.2,chickpea
50.0,75.0,84.0,17.02,18.47,5.83,77.37,chickpea
21.0,62.0,84.0,19.82,18.97,7.2,71.41,chickpea
34.0,75.0,81.0,19.18,17.57,6.0,87.3,chickpea
45.0,63.0,79.0,17.93,19.17,7.11,93.78,chickpea
47.0,70.0,84.0,19.65,19.55,7.19,65.83,chickpea
26.0,56.0,82.0,18.03,15.48,7.48,72.48,chickpea
31.0,64.0,77.0,19.31,15.84,6.79,80.06,chickpea
59.0,62.0,82.0,17.18,19.55,6.47,75.57,chickpea
26.0,57.0,79.0,19.02,18.29,7.02,84.89,chickpea
23.0,63.0,84.0,20.29,18.33,7.11,68.6,chickpea
36.0,79.0,76.0,18.56,14.32,6.75,79.42,chickpea
42.0,57.0,84.0,19.49,14.39,6.5,65.04,chickpea
9.0,77.0,18.0,23.71,22.94,5.79,136.53,kidneybeans
2.0,77.0,19.0,19.87,23.4,5.63,92.06,kidneybeans
34.0,76.0,24.0,15.66,19.21,5.74,149.79,kidneybeans
27.0,60.0,18.0,15.86,20.17,5.89,99.8,kidneybeans
35.0,64.0,19.0,23.4,19.01,5.83,105.18,kidneybeans
7.0,71.0,24.0,15.36,23.23,5.89,141.72,kidneybeans
28.0,66.0,21.0,15.07,21.69,5.77,96.25,kidneybeans
22.0,78.0,22.0,20.45,24.87,5.9,80.52,kidneybeans
30.0,67.0,20.0,22.61,24.01,5.62,77.54,kidneybeans
37.0,70.0,17.0,22.5,21.04,5.78,82.13,kidneybeans
37.0,69.0,20.0,23.66,18.62,5.54,106.55,kidneybeans
27.0,59.0,16.0,23.74,18.25,5.75,141.5,kidneybeans
33.0,62.0,20.0,18.29,22.82,5.81,125.79,kidneybeans
2.0,63.0,15.0,24.39,22.01,5.69,117.55,kidneybeans
22.0,70.0,20.0,17.52,19.08,5.62,73.61,kidneybeans
4.0,70.0,20.0,24.83,20.24,5.92,92.13,kidneybeans
35.0,62.0,25.0,17.8,22.31,5.54,71.49,kidneybeans
29.0,79.0,16.0,16.81,19.22,5.95,108.89,kidneybeans
33.0,80.0,24.0,23.22,24.87,5.88,117.15,kidneybeans
20.0,70.0,21.0,21.01,20.87,5.73,88.5,kidneybeans
17.0,66.0,22.0,21.18,21.26,5.53,104.08,kidneybeans
2.0,79.0,20.0,21.1,21.96,5.61,99.18,kidneybeans
14.0,74.0,21.0,22.96,22.04,5.56,98.36,kidneybeans
7.0,63.0,16.0,19.75,21.94,5.65,135.01,kidneybeans
15.0,63.0,23.0,24.64,23.09,5.56,68.26,kidneybeans
12.0,70.0,24.0,19.11,23.14,5.97,98.57,kidneybeans
22.0,62.0,24.0,17.02,19.29,5.73,133.64,kidneybeans
28.0,58.0,16.0,18.25,19.36,5.8,74.4,kidneybeans
10.0,62.0,20.0,23.52,23.46,5.95,137.9,kidneybeans
19.0,68.0,18.0,24.95,18.98,5.94,90.19,kidneybeans
9.0,74.0,19.0,17.59,18.83,5.57,136.48,kidneybeans
10.0,69.0,19.0,22.36,22.1,5.75,131.57,kidneybeans
33.0,68.0,15.0,22.88,22.04,5.89,114.73,kidneybeans
21.0,58.0,18.0,20.61,20.53,5.58,113.72,kidneybeans
25.0,64.0,17.0,24.74,23.29,5.53,146.85,kidneybeans
30.0,65.0,19.0,23.07,18.25,5.86,65.18,kidneybeans
1.0,79.0,16.0,19.32,18.04,5.81,94.21,kidneybeans
16.0,79.0,16.0,18.18,24.17,5.67,109.38,kidneybeans
29.0,77.0,23.0,24.59,20.81,5.7,82.93,kidneybeans
7.0,80.0,24.0,17.11,21.14,5.8,103.47,kidneybeans
9.0,61.0,23.0,16.58,21.46,5.58,85.5,kidneybeans
25.0,65.0,22.0,16.33,19.66,5.57,79.33,kidneybeans
16.0,69.0,25.0,16.68,21.96,5.54,128.07,kidneybeans
1.0,78.0,21.0,24.31,22.96,5.99,70.92,kidneybeans
17.0,61.0,16.0,15.1,24.3,5.56,123.13,kidneybeans
1.0,67.0,24.0,24.43,24.99,5.52,109.67,kidneybeans
24.0,75.0,15.0,23.19,23.86,5.91,133.87,kidneybeans
5.0,56.0,23.0,18.06,22.71,5.78,91.73,kidneybeans
27.0,56.0,23.0,19.03,24.43,5.69,83.04,kidneybeans
35.0,75.0,15.0,18.57,24.82,5.68,103.01,kidneybeans
16.0,57.0,17.0,15.71,20.16,5.95,132.94,kidneybeans
18.0,77.0,19.0,22.42,22.92,5.58,89.5,kidneybeans
20.0,80.0,19.0,18.28,23.25,5.72,105.11,kidneybeans
3.0,78.0,24.0,17.88,20.49,5.64,111.64,kidneybeans
20.0,71.0,20.0,22.53,22.36,5.75,76.45,kidneybeans
12.0,60.0,24.0,23.81,21.42,5.86,85.81,kidneybeans
28.0,65.0,19.0,24.04,23.6,5.6,88.67,kidneybeans
5.0,71.0,17.0,21.63,22.7,5.68,148.19,kidneybeans
30.0,61.0,18.0,16.75,23.0,5.91,115.38,kidneybeans
3.0,67.0,24.0,19.63,23.26,5.8,121.55,kidneybeans
10.0,59.0,17.0,17.68,21.59,5.98,102.2,kidneybeans
15.0,72.0,24.0,18.59,21.22,5.83,123.42,kidneybeans
7.0,64.0,15.0,23.61,23.18,5.59,98.08,kidneybeans
4.0,71.0,23.0,22.95,21.95,5.62,103.42,kidneybeans
14.0,75.0,17.0,17.68,22.13,5.75,112.75,kidneybeans
17.0,65.0,17.0,19.3,20.85,5.84,144.86,kidneybeans
7.0,69.0,16.0,22.19,24.31,5.94,146.49,kidneybeans
30.0,65.0,17.0,24.21,23.1,5.93,79.69,kidneybeans
37.0,77.0,21.0,15.48,24.18,5.97,136.26,kidneybeans
34.0,76.0,21.0,17.3,23.35,5.74,88.45,kidneybeans
17.0,65.0,20.0,19.02,23.85,5.96,101.29,kidneybeans
16.0,57.0,20.0,18.93,18.61,5.91,127.65,kidneybeans
24.0,69.0,16.0,24.68,18.31,5.55,90.08,kidneybeans
12.0,66.0,17.0,19.12,22.41,5.77,90.52,kidneybeans
22.0,77.0,21.0,17.67,22.43,5.59,71.3,kidneybeans
0.0,57.0,17.0,23.13,24.83,5.85,75.59,kidneybeans
6.0,57.0,22.0,24.17,22.34,5.64,80.39,kidneybeans
9.0,60.0,17.0,24.01,19.2,5.62,126.76,kidneybeans
8.0,77.0,22.0,15.34,18.24,5.84,81.81,kidneybeans
7.0,76.0,16.0,17.08,22.68,5.83,98.63,kidneybeans
21.0,76.0,15.0,15.61,21.34,5.6,80.47,kidneybeans
21.0,60.0,15.0,22.73,20.22,5.84,134.68,kidneybeans
15.0,71.0,24.0,22.45,24.57,5.71,139.83,kidneybeans
25.0,72.0,16.0,24.36,23.18,5.71,124.98,kidneybeans
7.0,66.0,24.0,20.11,22.58,5.81,100.06,kidneybeans
22.0,68.0,20.0,16.96,18.15,5.75,92.27,kidneybeans
25.0,57.0,18.0,23.4,22.38,5.58,107.31,kidneybeans
7.0,71.0,25.0,24.65,20.34,5.58,95.72,kidneybeans
22.0,76.0,23.0,16.9,18.24,5.9,98.97,kidneybeans
19.0,66.0,24.0,22.56,24.93,5.9,74.31,kidneybeans
16.0,67.0,24.0,17.54,21.64,5.8,75.69,kidneybeans
17.0,68.0,16.0,16.38,20.96,5.62,136.36,kidneybeans
4.0,73.0,17.0,18.6,19.3,5.55,114.22,kidneybeans
30.0,78.0,24.0,16.35,23.66,5.85,94.96,kidneybeans
20.0,67.0,25.0,20.61,20.79,5.8,87.19,kidneybeans
20.0,67.0,24.0,18.73,22.22,5.89,146.9,kidneybeans
36.0,69.0,24.0,20.65,22.97,5.74,118.47,kidneybeans
34.0,69.0,16.0,22.38,24.28,5.8,72.36,kidneybeans
5.0,77.0,24.0,18.63,20.83,5.79,86.47,kidneybeans
9.0,59.0,20.0,20.09,18.63,5.56,96.57,kidneybeans
30.0,56.0,20.0,23.76,51.61,6.4,134.05,pigeonpeas
40.0,68.0,18.0,23.25,30.34,5.6,179.93,pigeonpeas
16.0,77.0,21.0,24.32,61.33,6.71,143.62,pigeonpeas
10.0,79.0,23.0,26.05,43.17,6.85,122.23,pigeonpeas
38.0,72.0,24.0,25.36,38.94,6.12,199.9,pigeonpeas
34.0,62.0,17.0,22.24,52.72,6.99,113.76,pigeonpeas
35.0,72.0,22.0,26.39,44.64,6.59,90.64,pigeonpeas
6.0,75.0,18.0,28.72,47.89,5.65,147.04,pigeonpeas
30.0,69.0,21.0,28.71,63.4,5.78,143.15,pigeonpeas
17.0,62.0,24.0,22.97,45.19,6.37,151.69,pigeonpeas
13.0,59.0,22.0,18.62,40.42,5.9,139.04,pigeonpeas
14.0,67.0,22.0,23.63,35.15,6.49,117.35,pigeonpeas
37.0,63.0,23.0,20.81,46.82,5.67,175.44,pigeonpeas
13.0,68.0,17.0,29.5,31.24,6.06,147.53,pigeonpeas
34.0,57.0,25.0,19.29,42.7,6.16,167.08,pigeonpeas
12.0,70.0,20.0,28.77,48.25,5.86,191.65,pigeonpeas
31.0,57.0,17.0,23.05,64.23,5.73,165.8,pigeonpeas
5.0,75.0,25.0,19.67,44.98,6.78,161.21,pigeonpeas
0.0,56.0,17.0,23.84,34.1,5.85,175.38,pigeonpeas
5.0,78.0,21.0,28.06,63.66,6.36,110.45,pigeonpeas
34.0,70.0,16.0,19.45,45.79,5.56,183.6,pigeonpeas
11.0,64.0,24.0,27.36,67.85,6.86,199.26,pigeonpeas
16.0,60.0,18.0,20.7,59.23,6.4,143.65,pigeonpeas
12.0,72.0,15.0,18.44,62.01,6.49,97.58,pigeonpeas
10.0,57.0,23.0,28.28,68.8,6.75,141.9,pigeonpeas
12.0,76.0,22.0,29.94,40.6,6.45,93.63,pigeonpeas
